idade,escolaridade,estado_civil,numero_filhos,renda_mensal,valor_emprestimo,taxa_juros_nominal,valor_garantia,PIB_regiao,taxa_desemprego,inflacao_mensal,trimestre_solicitacao,dia_util,renda_idade,divida_renda,taxa_juros_efetiva,score_credito,inadimplente
21,Médio,Casado,0,5517.45,12224.57,10.62,17115.21,1919064.58,0.12,0.39,1,0,115.86645,5.4173742976878865,10.661418,494,0
36,Superior,Casado,0,1645.02,7379.15,9.89,15288.53,4928181.8,0.55,0.31,1,1,59.22072,1.3176123667199646,9.920659000000002,396,0
42,Médio,Divorciado,0,4883.94,14068.42,10.02,34787.84,3659502.08,0.08,0.49,3,0,205.12548,3.4781192012566104,10.069097999999999,711,0
36,Superior,Casado,0,2354.01,15211.75,16.22,60560.78,1712877.19,0.1,0.27,4,1,84.74436,2.105725585374308,16.263793999999997,677,0
33,Pós,Divorciado,0,7158.86,8418.44,6.43,54419.99,1369028.0,0.33,0.52,1,1,236.24238,1.238288877519257,6.463436000000001,576,0
31,Pós,Solteiro,0,1665.35,7186.31,7.95,17237.43,4849344.26,0.08,0.47,2,1,51.62585,4.9433030990994755,7.987365,726,0
20,Superior,Solteiro,0,15600.3,12468.41,14.22,33056.57,2995005.39,0.46,0.45,3,1,312.006,0.7901642404251437,14.28399,541,0
27,Médio,Divorciado,1,4012.14,5527.64,5.47,13098.37,2683652.96,0.12,0.57,4,0,108.32777999999999,1.1223031708509708,5.501179,454,1
30,Pós,Casado,0,2924.92,1625.2,6.91,21772.49,4185696.78,0.3,0.43,3,0,87.7476,7.12664565717362,6.939713,554,0
45,Médio,Solteiro,0,4147.32,14287.42,8.66,11089.45,3676865.43,0.68,0.36,4,1,186.62939999999998,0.7824202530217356,8.691176,582,0
38,Médio,Casado,0,6862.06,7269.34,9.68,22528.35,3232309.35,0.18,0.53,1,1,260.75828,4.0259284526442425,9.731304,699,0
18,Pós,Casado,1,8385.69,13653.6,12.83,13280.86,1915511.15,0.41,0.68,4,1,150.94242,1.5881690162123678,12.917243999999998,455,0
38,Fundamental,Divorciado,0,4168.92,4380.69,12.99,21297.64,3221154.75,0.2,0.57,4,1,158.41896,3.315015275403315,13.064043,505,0
31,Fundamental,Solteiro,0,2073.07,4630.6,12.29,42748.33,,0.4,0.61,3,0,64.26517,1.8861243923879245,12.364968999999999,439,0
28,Médio,Divorciado,1,2374.69,16615.73,8.18,14406.06,1405866.91,0.14,0.54,3,1,66.49132,0.12947275277181775,8.224172000000001,479,0
41,Pós,Divorciado,1,5836.19,2460.3,10.81,18001.44,3005078.32,0.13,0.58,3,1,239.28378999999998,0.708544212640108,10.872698000000002,549,0
45,Fundamental,Divorciado,0,8887.46,3322.98,8.3,35537.61,3409970.91,0.62,0.58,3,1,399.93569999999994,0.16463376222048753,8.34814,671,0
44,Superior,Divorciado,2,9609.29,2921.28,5.99,18228.85,3923855.15,0.41,0.52,4,1,422.80876000000006,0.8714393339510207,6.021148000000001,532,0
26,Médio,Casado,0,5436.31,12668.62,14.35,12067.67,3221572.27,0.48,0.43,1,0,141.34406,3.670502972843251,14.411705,463,0
31,Fundamental,Solteiro,1,8781.3,13225.19,5.67,17891.26,3240536.41,0.2,0.62,1,1,272.2203,1.16298365225159,5.705153999999999,554,0
38,Pós,Solteiro,1,15481.63,4254.09,17.51,22309.45,3267313.52,0.2,0.56,2,1,588.30194,3.826423701095824,17.608056,480,1
44,Pós,Solteiro,0,10038.76,11770.46,8.95,30004.6,2082696.37,0.35,0.5,1,1,441.70544,4.998849554269227,8.994749999999998,552,0
30,Médio,Casado,1,8546.04,2599.79,5.63,,4502872.66,0.25,0.5,4,0,256.38120000000004,1.7913391401318617,5.658149999999999,709,0
33,Pós,Casado,0,3029.24,19643.16,20.55,29266.13,3470996.28,0.38,0.58,3,1,99.96491999999999,3.0524882205331982,20.66919,511,0
23,Superior,Divorciado,2,8756.68,5498.32,10.18,24301.97,3731226.66,0.48,0.47,3,1,201.40364000000002,5.3432390854249014,10.227846,527,0
23,Superior,Divorciado,1,6481.71,7836.08,7.83,7694.92,3010629.84,0.31,0.66,1,0,149.07933,4.054211522621388,7.881678,525,0
43,Fundamental,Divorciado,2,7261.83,5812.86,15.42,19264.36,1586231.5,0.46,0.58,1,1,312.25869,1.195007111154127,15.509436,445,0
48,Pós,Divorciado,0,10474.13,10489.24,11.04,23264.74,1639944.8,0.3,0.58,3,0,502.75823999999994,1.6022159449776927,11.104032,658,0
34,Superior,Solteiro,1,6094.46,8164.15,12.35,14255.69,2840448.34,0.2,0.46,2,1,207.21164,0.5434894356079161,12.406809999999998,698,0
45,Médio,Divorciado,0,4621.49,14288.01,11.96,13012.99,4484473.5,0.39,0.54,3,1,207.96704999999997,0.9193344231295862,12.024584,665,1
38,Pós,Casado,0,2586.55,6866.44,10.76,21449.23,1484608.4,0.08,0.42,2,0,98.28890000000001,3.111389680675008,10.805192,391,0
28,Fundamental,Casado,2,4113.75,6154.77,12.73,21740.95,3011154.58,0.36,0.73,2,1,115.18499999999999,3.9199134659860833,12.822929000000002,512,0
38,Médio,Casado,1,5584.28,2066.9,12.04,7590.7,1158865.16,0.23,0.65,1,1,212.20263999999997,2.630835259504693,12.11826,453,0
50,Médio,Divorciado,2,5805.56,15088.78,10.82,15554.09,4487257.32,0.22,0.5,4,1,290.278,0.21427787780831528,10.874099999999999,547,0
34,Médio,Solteiro,0,5689.2,4682.07,11.17,14665.47,2045905.06,0.07,0.47,3,1,193.4328,3.8117684166312213,11.222499,626,0
50,Superior,Solteiro,0,8740.35,3500.19,6.02,11267.82,2405261.09,0.35,0.62,1,1,437.01750000000004,1.7461860469791877,6.0573239999999995,604,0
18,Médio,Divorciado,0,8260.32,1103.81,12.45,33808.43,1656595.42,0.27,0.65,1,1,148.68576000000002,2.298450078215249,12.530924999999998,293,0
43,Superior,Divorciado,1,4735.05,19837.56,7.77,,2254891.4,0.08,0.45,4,0,203.60715000000002,1.1376525141218128,7.804964999999999,485,0
35,Médio,Casado,2,2956.15,16927.73,8.36,10636.76,2571705.61,0.39,0.51,4,0,103.46525,0.7300397601051832,8.402636000000001,489,1
32,Superior,Casado,0,6185.82,3733.26,13.78,20138.24,1639419.74,0.41,0.56,1,1,197.94624,1.2861356183288115,13.857168,514,0
35,Pós,Solteiro,4,18916.74,23364.41,16.12,27340.99,2127275.05,0.45,0.53,4,1,662.0859,1.055985023191565,16.205436000000002,401,0
18,Superior,Casado,0,5959.52,29969.31,8.93,36152.93,3738294.2,0.52,0.61,1,0,107.27136,1.1307216032069167,8.984473,388,0
32,Superior,Casado,2,4115.21,6690.66,11.77,34069.99,4469037.91,0.19,0.77,4,1,131.68672,2.8880575311687204,11.860629,513,0
38,Pós,Divorciado,0,6778.44,22419.5,9.34,18438.82,3592076.69,0.25,0.55,4,1,257.58072,3.6141696631945606,9.39137,569,0
49,Médio,Solteiro,1,7026.48,2188.88,13.66,23007.79,4851003.45,0.36,0.64,4,1,344.29751999999996,2.444724141868346,13.747423999999999,563,0
29,Pós,Divorciado,0,6979.9,14764.97,8.49,38054.44,1983313.95,0.25,0.42,1,1,202.4171,4.7034244742074165,8.525658,606,0
26,Médio,Solteiro,1,11200.66,8060.05,11.83,17915.2,2446144.14,0.22,0.62,1,1,291.21716,2.4608380997867476,11.903345999999999,688,0
29,nan,Divorciado,2,6195.98,9089.02,9.09,13904.59,,0.25,0.58,3,1,179.68341999999998,0.5062277616144482,9.142722000000001,458,0
44,Médio,Solteiro,2,10886.16,13691.09,18.75,38700.86,3120735.04,0.09,0.62,1,1,478.99104,3.1126452877669006,18.86625,577,0
38,Superior,Casado,4,5642.83,7946.4,7.49,13055.91,3851948.49,0.56,0.52,3,1,214.42754,5.308091587948783,7.528948000000001,554,0
29,Médio,Solteiro,0,12179.37,8662.0,10.47,9297.85,1847325.68,0.03,0.54,3,1,353.20173,0.8657017773205049,10.526538000000002,581,0
40,Superior,Solteiro,0,10137.95,5635.78,13.67,25457.33,4297329.71,0.34,0.43,3,1,405.51800000000003,3.6125850574336824,13.728781,502,0
35,Superior,Divorciado,1,8544.81,13982.54,10.18,31518.19,2355152.68,0.05,0.36,4,0,299.06835,1.749259523730978,10.216648000000001,552,0
44,Fundamental,Solteiro,1,7891.26,12933.75,12.15,40495.83,2851530.09,0.17,0.38,1,0,347.21544,1.7897081802630082,12.19617,436,0
27,nan,Solteiro,1,19553.52,8483.74,12.91,30702.65,4344093.15,0.37,0.57,2,1,527.94504,0.8591685083350522,12.983587,625,0
31,Médio,Solteiro,0,9376.58,26115.95,12.56,32666.79,2311353.29,0.44,0.48,3,1,290.67398000000003,2.3940176576794436,12.620287999999999,518,0
31,Fundamental,Divorciado,0,2952.51,3734.36,17.76,12592.09,3680920.59,0.11,0.25,3,0,91.52781,1.1264180084482145,17.8044,424,1
20,Superior,Solteiro,1,5696.12,5536.4,8.39,26640.35,2854454.18,0.42,0.55,3,0,113.9224,1.1068318629291314,8.436145000000002,628,0
37,Superior,Divorciado,1,4192.99,5706.37,8.39,29362.44,2093800.53,0.22,0.3,1,1,155.14063,2.0280888944689535,8.41517,399,0
37,Fundamental,Casado,1,16961.24,4225.12,16.77,16227.28,2791496.83,0.08,0.45,1,0,627.56588,1.6642417643436624,16.845464999999997,649,0
35,Fundamental,Divorciado,1,10413.54,6060.8,15.67,22106.51,4036895.29,0.3,0.33,4,1,364.4739,1.8735977844503209,15.721711,464,0
32,Pós,Solteiro,1,16633.44,5134.91,7.22,39438.25,3672237.3,0.08,0.5,4,1,532.27008,1.1600442533592537,7.256099999999999,674,0
20,Superior,Casado,2,3115.06,1622.94,7.4,34201.0,4018893.96,0.49,0.42,4,1,62.3012,3.055774659807209,7.431080000000001,516,0
30,nan,Solteiro,0,9518.62,4819.69,8.26,40162.62,2254555.16,0.25,0.5,2,0,285.5586,4.709705033064595,8.3013,656,0
31,Médio,Divorciado,2,2167.4,19624.67,8.46,16970.39,4082297.11,0.07,0.44,4,0,67.1894,1.3350122123242956,8.497224000000001,499,0
26,Pós,Casado,1,1890.73,6215.07,10.72,47305.67,2618868.11,0.1,0.69,3,1,49.15898,3.1938070440078286,10.793968,566,0
33,Fundamental,Casado,0,3873.16,25272.25,11.48,16790.36,3147665.52,0.2,0.6,3,1,127.81428,1.564606749591783,11.54888,568,0
39,Fundamental,Casado,0,12178.47,5741.09,16.07,10620.16,4514429.84,0.34,0.48,3,1,474.96032999999994,2.331899570368969,16.147136,495,0
53,Fundamental,Solteiro,1,2709.26,10415.91,8.89,20725.53,3870775.56,0.6,0.56,2,1,143.59078,0.788771167414411,8.939784000000001,579,0
36,Fundamental,Casado,2,4865.44,13368.68,14.59,20980.2,3861702.96,0.08,0.56,1,0,175.15583999999998,1.7565662802689497,14.671704,483,0
37,Pós,Casado,2,10029.7,4649.32,8.93,14397.25,2997905.49,0.34,0.56,1,0,371.0989,2.062726123737712,8.980008,531,1
34,Pós,Casado,0,8166.93,11569.71,8.06,26745.97,3319327.3,0.2,0.44,4,1,277.67562000000004,2.2699091229079205,8.095464,525,0
18,Pós,Casado,2,18577.6,9498.17,6.7,74512.43,4018259.23,0.33,0.46,2,1,334.3967999999999,1.969619477494407,6.73082,502,0
34,Fundamental,Divorciado,0,4924.72,3473.39,12.23,28307.72,1016318.75,0.49,0.54,1,0,167.44048000000004,3.104990761979811,12.296042000000002,461,0
35,Fundamental,Solteiro,0,3770.72,8583.58,8.98,33892.62,2653286.91,0.2,0.4,1,1,131.9752,3.602199586651355,9.015920000000001,598,0
59,nan,Solteiro,0,2548.63,21335.76,13.48,,2197580.29,0.36,0.34,2,0,150.36917,0.26603434392520986,13.525832000000001,710,0
33,Superior,Casado,0,3941.04,6425.97,10.35,16344.44,2022267.78,0.07,0.59,1,1,130.05432,3.3655501819954865,10.411065,536,1
38,Fundamental,Divorciado,2,2534.73,25566.74,13.37,13063.4,4316157.14,0.24,0.34,1,1,96.31974000000001,0.28835950369746455,13.415458000000001,354,0
34,Superior,Casado,1,1672.6,5958.02,11.18,20463.07,2906717.33,0.8,0.44,2,1,56.868399999999994,2.3314610443446417,11.229192,559,0
23,Médio,Solteiro,0,15963.11,11173.92,12.69,22168.87,1199524.41,0.62,0.46,1,1,367.15153,0.9134544954941963,12.748373999999998,601,0
46,Médio,Solteiro,1,5061.13,6422.45,9.46,42198.14,4903904.92,0.31,0.46,4,1,232.81198,1.828903315477459,9.503516,558,0
42,Fundamental,Solteiro,0,23269.07,9611.49,10.32,15095.64,1586456.94,0.08,0.64,4,1,977.30094,0.8258708309045182,10.386048,703,0
42,Pós,Casado,1,2970.33,7179.01,7.76,22362.97,2734164.4,0.42,0.48,3,1,124.75386,2.0621721817456358,7.797247999999999,450,0
25,Médio,Casado,1,3799.84,24882.82,11.89,22007.94,3527181.41,0.1,0.5,4,0,94.99600000000001,1.1023644706983917,11.949449999999999,562,1
49,Médio,Divorciado,0,3086.46,13378.46,13.26,19058.81,3257160.35,0.16,0.55,1,0,151.23654000000002,1.2325470533075185,13.332930000000001,482,0
20,Pós,Divorciado,2,3346.09,19072.22,13.27,28919.9,2741019.56,0.13,0.49,2,0,66.9218,0.3689515437391807,13.335022999999998,504,0
40,Superior,Solteiro,2,8301.26,16735.17,12.44,24804.76,2218194.67,0.54,0.59,4,0,332.0504,2.5361956684578337,12.513396,475,0
56,Pós,Solteiro,0,6903.57,1322.62,6.69,43823.97,3276068.8,0.26,0.55,4,1,386.59991999999994,0.8729548723426586,6.726795000000001,375,1
25,Superior,Divorciado,1,8310.26,10669.13,7.9,23769.18,4422145.62,0.37,0.63,3,1,207.7565,0.9558944840748866,7.94977,408,0
29,Superior,Solteiro,1,10996.84,15948.65,7.72,8372.7,1959887.18,0.2,0.54,1,0,318.90836,0.8060273699435613,7.761688,431,1
35,Pós,Divorciado,0,9551.11,4619.97,14.54,13254.14,1252006.63,0.38,0.52,1,1,334.28885,0.6604520514706734,14.615608,514,1
29,Superior,Casado,1,2683.58,7774.97,14.66,16897.57,2430862.37,0.69,0.3,4,0,77.82382,0.5624432756264549,14.703979999999998,488,0
19,Médio,Solteiro,2,3589.29,2690.77,12.53,6402.15,3989464.19,0.32,0.4,4,0,68.19651,0.5126310695235223,12.580119999999999,497,0
35,Fundamental,Solteiro,1,5286.38,26075.48,10.44,12929.27,4965352.77,0.09,0.59,4,0,185.0233,0.40404534073862347,10.501596,530,0
24,Superior,Divorciado,1,46013.96,12102.13,12.75,35930.74,3603688.04,0.28,0.43,4,1,1104.33504,1.0079255534947757,12.804825,527,0
39,Médio,Casado,2,7812.19,9409.77,10.55,10277.96,3037287.48,0.2,0.5,2,1,304.67541,1.830977008705254,10.60275,423,0
25,Pós,Solteiro,1,5239.67,4138.61,9.11,28357.9,1307073.83,0.37,0.51,3,0,130.99175,2.550909941200168,9.156461,693,1
50,Superior,Solteiro,1,7361.1,3463.51,11.84,11548.7,2364872.9,0.45,0.47,2,1,368.055,1.55278171466093,11.895648,543,0
27,nan,Divorciado,0,3422.52,3788.1,6.59,21788.44,1226565.54,0.15,0.67,2,1,92.40804,3.0728994361911988,6.6341529999999995,419,0
31,Superior,Casado,0,5752.88,2800.09,13.27,21978.57,2680963.0,0.5,0.28,1,1,178.33928,3.6738341736979985,13.307155999999999,311,1
43,Pós,Divorciado,0,8714.97,6797.49,13.09,25048.13,2961940.55,0.08,0.61,3,0,374.74370999999996,0.883853433325453,13.169849,432,0
22,Fundamental,Casado,0,4830.0,15574.7,14.45,10698.94,2098647.83,0.23,0.52,2,1,106.26,0.8015726140041396,14.52514,463,1
37,Superior,Casado,0,3121.5,11136.04,16.92,36449.99,1279484.34,0.32,0.44,2,1,115.4955,4.49397613748764,16.994448000000002,662,1
48,Fundamental,Divorciado,1,4690.41,7960.05,9.01,17571.62,2708256.98,0.65,0.6,2,1,225.13968,1.9993461470112022,9.06406,595,0
18,Superior,Divorciado,1,4057.22,8600.24,8.8,13935.75,4883936.64,0.14,0.39,1,0,73.02996,1.3709279027372276,8.834320000000002,546,0
36,Superior,Casado,0,2177.04,4682.19,17.01,27739.28,2287578.74,0.63,0.59,4,1,78.37343999999999,6.5620050151162514,17.110359000000003,497,0
37,Pós,Divorciado,1,3487.95,2730.07,7.98,21777.41,2256338.37,0.37,0.42,4,1,129.05415,1.571338495049179,8.013516000000001,522,0
42,Superior,Solteiro,1,2130.93,12203.19,12.66,15383.03,1593004.96,0.1,0.45,2,0,89.49905999999999,2.1909581305346864,12.71697,718,0
22,Médio,Solteiro,0,2340.04,8806.67,13.76,17941.41,3223789.39,0.1,0.57,4,1,51.48088,1.2887522876046462,13.838432000000001,850,0
21,Médio,Solteiro,1,2478.56,2157.31,12.32,5294.43,3144085.81,0.26,0.49,1,1,52.04976,3.8092581692852097,12.380367999999999,529,0
40,Fundamental,Solteiro,0,8708.64,25765.28,9.43,19929.48,2544858.33,0.2,0.58,2,0,348.3456,1.4607495935827912,9.484694,540,0
37,Fundamental,Solteiro,0,12010.05,689.93,7.74,17843.74,4576126.26,0.35,0.52,1,1,444.37185,2.306348923754374,7.780248000000001,509,0
37,Médio,Divorciado,1,1955.4,21644.22,6.22,17533.91,1376589.07,0.19,0.47,4,1,72.3498,0.8953022695369244,6.2492339999999995,516,0
38,Fundamental,Casado,1,12684.17,1986.31,13.18,15073.63,4684820.4,0.35,0.52,2,1,481.99846,0.821641670513478,13.248536000000001,533,0
28,Fundamental,Divorciado,1,2499.99,5031.72,16.17,29948.8,2646767.55,0.24,0.55,2,1,69.99972,2.4728129325339663,16.258935,598,0
37,Médio,Solteiro,0,7693.48,21580.88,12.3,27230.66,1543675.36,0.24,0.47,2,1,284.65876,1.3273278797313037,12.35781,439,0
37,Médio,Solteiro,0,5739.54,8816.26,5.98,25356.05,3254223.13,0.44,0.55,2,0,212.36298,1.991534363119663,6.0128900000000005,649,0
27,Médio,Divorciado,1,7197.66,6392.85,12.9,13041.38,3719397.17,0.3,0.48,4,1,194.33682,1.4740026610009613,12.96192,575,0
53,Pós,Divorciado,2,2441.95,7153.2,13.73,15879.36,2117529.74,0.22,0.49,1,1,129.42335,1.892764680040726,13.797277,658,0
39,Pós,Casado,1,1656.7,3720.33,13.68,5411.17,4348109.51,0.5,0.54,2,1,64.6113,1.7752421960940854,13.753872000000001,483,0
23,Médio,Solteiro,0,3035.87,5472.45,7.13,27213.33,1044811.12,0.21,0.43,3,1,69.82501,2.6244429371701257,7.160659,800,0
41,Superior,Divorciado,0,6349.44,9088.68,12.37,42814.03,2395034.02,0.19,0.35,3,1,260.32703999999995,1.220758073366638,12.413295,731,0
25,Médio,Casado,0,15901.08,5283.97,15.11,7789.38,,0.41,0.54,1,1,397.527,0.764217625319791,15.191594,536,0
42,Pós,Solteiro,1,2649.6,5288.97,16.29,36157.11,3710614.65,0.35,0.31,3,1,111.2832,0.8447767161072255,16.340499,496,0
46,Fundamental,Solteiro,0,4631.78,14243.52,9.05,39520.7,1895140.42,0.28,0.56,2,1,213.06188,3.094163243020448,9.10068,451,0
26,Superior,Solteiro,1,3135.53,8376.21,6.21,14026.86,2816961.76,0.46,0.68,2,1,81.52378,1.7043233554262027,6.252228,482,1
44,Superior,Divorciado,0,4864.23,19833.09,8.56,82091.37,2072113.44,0.39,0.57,3,1,214.02611999999996,0.7701916021568351,8.608792000000001,579,0
39,Fundamental,Solteiro,0,1543.07,7582.69,16.42,13779.32,2894262.64,0.25,0.68,3,1,60.17973,0.07288660446519951,16.531656,465,0
43,Superior,Solteiro,2,12074.2,2136.89,10.95,17365.54,4349864.82,0.25,0.42,1,1,519.1906,0.47754101965288226,10.995989999999999,523,0
53,Fundamental,Casado,1,4986.16,6446.15,8.33,19440.76,1202187.78,0.13,0.33,4,1,264.26648,3.469170225764564,8.357489000000001,542,0
32,Pós,Divorciado,0,8521.09,6239.49,10.45,28645.74,1982737.85,0.15,0.52,2,0,272.67488000000003,0.9596869704042471,10.504340000000001,521,0
27,Superior,Casado,1,4275.6,26422.98,6.43,14463.33,1125426.01,0.17,0.61,4,0,115.44120000000002,0.9473194427861555,6.4692229999999995,486,0
26,Superior,Divorciado,0,5510.31,23636.46,12.02,17241.83,4965644.7,0.55,0.48,4,0,143.26806000000002,3.097879263064186,12.077695999999998,315,1
26,Fundamental,Solteiro,1,9675.22,6020.56,7.24,11239.76,1637349.53,0.29,0.65,3,1,251.55571999999998,1.5316146608388812,7.287059999999999,483,0
34,Fundamental,Casado,0,5318.94,2098.52,15.39,23300.6,2126845.35,0.33,0.79,4,1,180.84395999999998,1.3815519085961565,15.511581000000001,713,0
38,Pós,Divorciado,1,5435.05,3628.34,6.78,43115.37,4412832.15,0.14,0.25,2,1,206.5319,3.068049583034715,6.79695,513,0
37,Fundamental,Divorciado,0,3052.25,3794.82,8.85,19843.62,3046173.08,0.55,0.57,3,0,112.93325,1.0569556214281335,8.900445,588,1
43,Fundamental,Solteiro,0,3566.52,12480.6,11.79,31009.45,4777364.16,0.23,0.64,3,0,153.36036000000001,0.8612166199337867,11.865455999999998,424,1
35,Pós,Solteiro,1,2676.62,6463.76,13.3,18415.03,3360844.24,0.14,0.67,2,1,93.68169999999999,2.4508203377832567,13.38911,630,0
49,Médio,Casado,2,3156.41,12492.29,7.54,46831.32,3887922.67,0.25,0.39,2,1,154.66409,0.31456383586593467,7.569406,263,0
32,Médio,Casado,2,10412.24,16479.2,14.53,22825.42,3468392.06,0.17,0.39,4,0,333.19168,1.3583894966051033,14.586667,526,1
62,Fundamental,Divorciado,0,14547.37,21833.71,9.02,12960.73,3949480.66,0.3,0.42,1,1,901.93694,0.5148385136006903,9.057884,520,0
41,Pós,Casado,0,2325.37,7969.62,6.18,23101.85,2073705.63,0.17,0.55,4,0,95.34017,1.1636391008424567,6.21399,379,0
