potencia_nominal,vazao_refrigerante,nivel_combustivel,temperatura,pressao,vibracao_x,vibracao_y,vibracao_z,fluxo_neutrons,temperatura_externa,umidade,pressao_atmosferica,ultima_manutencao,horas_operacao,falhas_passadas,pressao_temperatura,fluxo_neutrons_potencia,eficiencia_termica,falha
921.85,4556.29,90.16,345.84,3.992168501118658,-0.088,0.221,-0.737,993.0,30.88,80.2,1040.23,155,5014.0,0,1.3806515544268765,915.39705,-114.3705599999998,0
839.07,5483.76,98.14,242.53,27.237802299318293,0.414,-0.142,0.265,948.0,24.69,55.02,1005.74,78,5073.0,0,6.605984191653666,795.4383600000001,-251.10008999999997,0
1073.69,5299.09,83.19,276.74,18.016613479366814,0.016,0.687,1.038,1006.0,25.61,88.1,998.89,206,5057.0,2,4.985917614279972,1080.1321400000002,32.127240000000036,0
976.06,4943.07,93.8,390.55,23.777315889129476,0.004,-0.15,0.873,1016.0,34.18,39.84,983.96,275,4999.0,0,9.286230720499516,991.67696,-733.1102500000002,0
848.82,4605.58,91.88,382.16,16.432296511687127,0.082,0.744,0.766,990.0,23.74,35.4,1007.92,292,4992.0,0,6.279766434906353,840.3318,-584.5765600000004,0
998.07,5057.61,94.97,321.4,9.712221394141876,0.74,-0.327,0.955,982.0,22.9,42.77,1018.51,219,5008.0,0,3.121507956077199,980.1047400000001,34.094000000000094,0
813.76,4711.21,83.01,328.5,5.434622320674006,0.093,0.425,-0.63,966.0,18.26,35.28,1032.17,240,5062.0,0,1.7852734323414108,786.09216,8.134999999999991,0
1163.73,5088.97,98.83,263.27,24.415497420753155,0.555,-0.11,-0.262,1023.0,28.41,44.96,1009.21,70,5070.0,1,6.427868005961683,1190.49579,-47.94929000000013,0
903.51,5082.31,92.42,388.07,12.30180956033299,0.523,0.134,-0.456,1071.0,17.8,62.63,994.82,84,5050.0,0,4.773963236078424,967.6592099999999,-680.89249,0
1065.01,4811.72,96.94,273.11,10.65975762922896,-0.082,-1.013,1.748,,21.83,45.53,1017.33,63,4981.0,0,2.911286406118721,1059.6849499999998,14.432790000000068,0
924.68,5224.19,84.93,365.24,13.928671925061543,-0.037,1.084,0.122,976.0,19.93,79.09,1015.91,189,5026.0,1,5.087308133909478,902.48768,-332.39576000000017,0
1008.03,5161.11,94.79,391.1,5.035072117368687,-0.189,0.158,-0.707,1051.0,18.59,51.53,1006.02,358,5100.0,1,1.9692167051028933,1059.43953,-745.0710000000005,0
1018.68,5195.16,95.62,326.41,9.123039727469003,0.642,0.508,-0.551,1023.0,32.56,54.23,1009.82,214,5111.0,0,2.9778513974431573,1042.10964,12.281189999999867,0
873.94,5001.77,87.95,372.88,15.117804008117943,-0.471,-0.689,0.054,992.0,25.68,35.21,1014.54,186,5064.0,1,5.637126758547019,866.9484800000001,-446.23944000000006,0
1187.83,4716.9,87.68,417.38,4.872048307632895,-0.361,0.086,-0.681,1019.0,17.05,46.23,1021.06,101,5099.0,2,2.0334955226398175,1210.39877,-1291.86644,0
1110.05,5195.57,93.16,338.9,5.717862622450273,-0.138,-0.09,0.934,,26.58,37.23,1018.56,285,5138.0,0,1.9377836427483972,1154.452,-66.36099999999983,0
1175.8,4945.93,81.87,317.23,12.679661841705718,-0.574,-0.529,0.395,971.0,30.04,43.96,1015.65,142,4963.0,1,4.022369126044305,1141.7018,53.19270999999995,0
1157.93,4722.04,94.71,323.16,14.824397318355802,-0.296,0.643,0.157,988.0,27.36,69.51,1013.49,1,5072.0,1,4.790652237399861,1144.03484,31.46143999999988,0
1039.16,5270.41,80.86,289.85,6.825020894207659,0.568,0.073,-0.527,1042.0,30.66,52.9,1032.42,130,4999.0,0,1.9782323061860903,1082.8047199999999,69.59775000000005,0
1168.75,5419.88,83.81,289.22,2.751357803773166,0.326,-0.027,-0.661,1019.0,27.82,31.15,1018.44,265,4993.0,1,0.795747704007275,1190.95625,71.52916000000006,0
835.4,4991.75,93.28,350.12,26.744034957127287,-0.21,0.312,0.175,921.0,28.93,46.04,1024.09,147,4997.0,3,9.363621519189405,769.4034,-177.49144000000004,0
878.39,5431.82,81.97,320.3,2.504490387513359,0.401,-0.427,0.069,998.0,24.53,82.29,1021.76,329,4993.0,0,0.8021882711205289,876.6332199999999,46.980999999999945,0
818.09,5018.26,99.44,345.38,0.6798409480020033,1.041,0.081,-0.642,1011.0,32.54,52.67,1016.53,15,4933.0,0,0.23480346662093188,827.08899,-117.36443999999997,0
930.13,4923.91,97.37,255.0,9.374546251272978,0.157,0.045,-0.027,,29.07,63.77,1027.9,3,5016.0,0,2.3905092940746093,925.47935,-117.03,0
955.47,4873.91,92.53,325.37,7.524132230545615,0.71,0.067,-0.026,966.0,26.4,58.72,1005.41,279,4964.0,0,2.4481269038526268,922.98402,24.806309999999982,0
908.54,5327.42,96.38,382.01,13.84838330399789,0.426,0.514,0.369,1036.0,20.77,88.42,1021.26,55,5114.0,0,5.2902209059602345,941.24744,-587.6040099999999,0
1131.5,4843.97,97.75,275.05,22.481435667294292,-0.147,-0.212,1.053,994.0,30.28,46.73,999.84,215,4881.0,0,6.183518880289296,1124.711,22.77975000000005,0
942.7,5147.05,85.19,332.33,12.149619241133463,0.099,-0.265,-1.04,951.0,30.96,72.42,1013.66,48,5083.0,1,4.037682962405883,896.5077000000001,-19.712889999999906,0
912.37,4888.17,96.99,239.27,18.27374994591483,0.263,-0.307,0.401,982.0,35.74,65.78,993.7,5,4967.0,0,4.372360149559041,895.9473399999999,-283.6232899999999,0
1017.08,4907.94,83.9,267.23,23.234965227502286,-0.372,-0.328,-0.348,949.0,24.75,67.17,1000.41,8,4937.0,0,6.209079757745436,965.20892,-21.657289999999875,0
856.37,5206.05,88.27,373.38,6.873538457594334,-1.305,0.551,0.211,1028.0,27.02,78.39,1008.77,257,5113.0,0,2.5664417892965723,880.34836,-458.35244,0
1120.88,4923.99,91.17,318.04,12.278377682311367,-0.417,-0.035,0.065,976.0,26.94,40.01,1031.2,233,5093.0,0,3.9050152380823073,1093.9788800000001,48.955839999999924,0
829.82,4919.04,94.28,425.1,15.204243298950367,-1.079,0.511,0.25,,15.26,80.65,1011.35,210,5060.0,2,6.463323826383801,828.1603600000001,-1479.6810000000005,0
1194.75,5226.56,80.6,356.12,9.525795169812785,-0.376,0.136,-0.622,1013.0,29.32,36.2,1020.35,271,4850.0,0,3.392326175873729,1210.28175,-224.95544000000007,0
1108.9,5319.48,85.81,361.53,17.403366158707033,-0.854,-0.437,0.485,943.0,27.4,69.88,1028.09,248,4972.0,0,6.291838967357354,1045.6927,-290.42408999999964,0
879.49,5128.94,92.17,281.68,16.580586427376925,0.44,-0.753,0.02,979.0,22.81,42.43,1010.78,303,5017.0,0,4.670419584863533,861.02071,49.89776000000002,0
802.21,4869.05,87.15,316.74,11.090019036027865,-0.591,-0.726,0.696,996.0,20.93,68.53,1030.23,299,4990.0,0,3.512652629471466,799.00116,69.45723999999997,0
1126.18,,95.5,299.87,4.55132187133996,0.272,-0.445,0.796,1009.0,19.31,36.92,1012.61,100,4979.0,0,1.3648048895587137,1136.31562,88.37831,0
1082.74,5015.98,93.03,283.73,1.618069856251301,0.383,0.51,0.118,979.0,28.18,72.58,1002.73,95,5081.0,0,0.4590949603141817,1060.00246,60.008710000000065,0
1091.6,5064.19,84.69,370.69,10.184586344869816,0.351,0.65,0.495,1002.0,21.61,49.31,1024.02,253,5073.0,0,3.7753243121797917,1093.7831999999999,-406.13760999999994,0
1108.51,4802.43,82.92,381.23,4.389464582094014,-0.934,0.046,0.452,938.0,27.61,69.91,1019.28,202,5009.0,1,1.673395582631701,1039.78238,-580.7412900000003,0
829.62,5144.61,92.58,358.45,18.50260160588182,0.561,0.463,0.669,1028.0,24.63,62.85,1010.02,362,4975.0,2,6.632257545628338,852.8493599999999,-258.72024999999996,0
943.39,5017.1,89.01,297.6,9.568952437050692,0.21,-0.277,0.633,1076.0,26.42,43.48,1003.44,74,5025.0,1,2.847720245266286,1015.08764,81.63400000000001,0
846.35,4656.86,83.38,356.04,15.710010434270412,0.402,-0.314,-0.582,1030.0,31.61,61.9,1023.08,233,5073.0,1,5.593392115017638,871.7405,-229.10816000000028,0
1145.24,4814.21,86.53,244.37,9.781421523761399,0.915,0.385,0.139,1003.0,27.65,39.54,1001.91,247,5085.0,1,2.390285977761573,1148.67572,-224.47968999999995,0
1049.32,4899.17,86.06,406.65,18.91031535405993,0.397,0.083,-0.694,1010.0,27.19,89.54,991.32,195,5044.0,2,7.689879738728469,1059.8132,-1050.5622499999993,0
932.36,4985.43,82.16,276.09,22.212899354688645,-0.591,0.367,-0.261,1034.0,22.33,65.78,1024.64,180,5017.0,0,6.132759382835988,964.06024,30.261189999999885,0
825.42,5377.86,90.94,285.48,20.220335791292587,0.327,0.026,-0.241,999.0,27.54,60.64,1021.83,204,5068.0,1,5.772501461698208,824.59458,66.36696000000005,0
924.39,5047.63,95.27,347.76,12.209729983660784,-0.752,-0.188,0.293,963.0,24.88,85.11,1019.81,138,5088.0,1,4.246055699117874,890.1875699999999,-144.46175999999994,0
930.07,4831.85,91.51,352.71,4.44177555229196,,-0.108,-0.115,984.0,18.51,48.01,1010.2,161,4878.0,0,1.5666586550488975,915.18888,-190.74440999999982,0
1091.84,5044.13,96.53,339.36,10.225943429617882,-0.252,0.154,-0.08,994.0,24.23,43.69,1019.85,0,5100.0,1,3.470276162275124,1085.2889599999999,-72.02096000000012,0
1055.02,4929.58,82.55,287.99,11.148941994175347,0.005,0.12,0.5,935.0,31.11,68.19,1005.46,162,5027.0,1,3.2107838049025585,986.4436999999999,64.26599000000002,0
1154.89,5064.95,88.71,400.67,26.938456296386228,-0.755,-0.466,0.44,1070.0,20.58,84.45,1014.8,5,5001.0,1,10.79343128427307,1235.7323000000001,-923.6848900000002,0
988.89,,92.19,260.2,13.694869650865762,-0.697,-0.061,0.138,1026.0,26.76,68.99,1030.79,273,4927.0,1,3.563405083155271,1014.60114,-75.20400000000011,0
847.84,5241.85,93.52,270.84,15.178967318437737,-0.225,-0.76,0.375,931.0,24.49,31.31,1012.68,72,5042.0,0,4.111071508525677,789.3390400000001,2.129439999999846,0
1085.3,4995.14,93.92,340.15,18.513164091050765,-0.111,-0.175,0.323,987.0,25.1,81.76,1017.74,278,4969.0,0,6.297252765570917,1071.1910999999998,-85.91224999999982,0
1104.31,5327.79,94.58,282.79,13.74607786996221,-0.213,-0.46,0.982,990.0,24.02,47.84,999.65,24,4912.0,1,3.8872533608466133,1093.2668999999999,53.591590000000075,0
1024.51,5181.6,93.03,407.63,14.328803785846006,0.725,-1.523,-0.104,1048.0,26.39,82.15,1008.25,357,4973.0,2,5.840850287224407,1073.68648,-1071.8116899999998,0
1108.39,4858.51,81.88,288.09,7.95808729218345,0.212,1.105,-0.376,997.0,19.93,88.89,1010.78,254,5132.0,0,2.2926453680051297,1105.06483,66.37518999999995,0
997.52,5441.97,93.91,425.35,3.6947041173148665,0.198,-0.386,0.102,,27.8,69.08,1024.04,242,5071.0,0,1.5715423962998785,1014.47784,-1486.1322500000006,0
1009.09,5065.4,94.5,399.76,16.956818542752846,-0.191,-0.471,-0.475,1028.0,22.81,46.84,1033.62,213,4974.0,0,6.778657780650877,1037.34452,-906.1557599999999,0
971.02,4832.98,99.87,410.25,20.612802878302393,-0.696,0.811,-0.184,985.0,25.91,43.55,1016.43,16,5003.0,1,8.456402380823556,956.4547,-1124.60625,0
810.17,5330.58,93.87,443.36,10.930756819347547,-0.002,-0.586,0.225,964.0,26.19,72.27,995.73,245,4963.0,1,4.846260343425929,781.00388,-1967.9089600000004,0
843.16,5415.56,93.74,353.56,13.383650918017194,0.904,-0.726,-0.254,939.0,26.31,33.23,1001.21,264,4929.0,3,4.731923618574159,791.7272399999999,-209.71736,0
812.57,4993.39,90.3,299.35,9.088774025902243,0.112,-0.103,-0.114,1034.0,23.85,69.01,1024.59,177,4910.0,0,2.7207245046538366,840.19738,80.79775000000001,0
1054.56,4899.27,97.36,345.35,11.601878557093048,0.557,-0.247,-0.136,999.0,18.74,48.55,1006.01,293,4923.0,1,4.006708759692084,1053.50544,-126.43225000000022,0
925.74,4965.53,99.94,322.67,7.260959291928932,0.62,-0.32,-0.217,1021.0,22.28,30.16,1020.78,117,5163.0,0,2.3428937347267085,945.1805400000001,38.70710999999992,0
1003.43,5142.95,95.58,316.04,17.91633577587217,0.28,-0.459,-0.548,1022.0,23.22,68.01,1016.58,242,5020.0,0,5.66227875860664,1025.5054599999999,63.28183999999994,0
1163.03,5255.57,92.25,359.54,12.342914772550088,0.11,-0.094,0.506,986.0,16.38,64.92,1013.45,9,5070.0,1,4.437771577322659,1146.74758,-267.32116000000025,0
899.72,5114.1,81.58,336.91,13.350916867171703,-0.494,0.818,0.685,1008.0,22.33,61.73,1015.78,206,5003.0,2,4.498057401718819,906.91776,-54.10481000000018,0
964.15,5020.34,94.53,315.39,2.9160761462210822,-0.104,-0.805,0.476,1013.0,30.53,44.92,1014.83,112,5085.0,2,0.9197012557566671,976.68395,57.55479000000005,0
1102.22,5299.6,94.17,341.23,14.8030742442232,-0.18,0.42,0.471,963.0,19.84,84.88,999.76,100,4940.0,0,5.051253024356282,1061.43786,-89.81129000000016,0
891.52,4937.43,95.51,381.45,7.138311338699202,0.165,0.767,-0.208,932.0,28.81,31.93,1010.15,81,5009.0,1,2.72290886014681,830.89664,-576.3502499999998,0
830.79,5206.18,82.49,402.32,10.430405912925659,-0.707,-0.313,0.088,1073.0,22.26,36.64,1034.36,324,4976.0,1,4.196360906888252,891.4376699999999,-957.6582399999999,0
915.9,4942.39,93.07,274.85,10.943281323841752,-0.269,0.188,-0.39,994.0,22.08,53.31,1001.99,35,5039.0,1,3.0077608718579056,910.4046,23.277750000000108,0
864.49,5086.2,85.91,340.34,11.575639887098014,,-0.061,-0.067,962.0,24.05,53.33,1001.7,4,4952.0,0,3.9396532791749372,831.63938,-75.75155999999983,0
1171.88,4977.29,95.21,348.93,7.619659383317143,-0.351,-0.86,-0.023,977.0,26.56,37.68,1008.49,164,4926.0,0,2.658727748620851,1144.92676,-160.52449000000007,0
1123.25,4988.83,84.81,297.37,20.664399203702963,-0.458,0.609,-0.693,,22.82,88.99,1031.95,364,4915.0,0,6.14497239120515,1074.95025,84.20831000000001,0
1053.36,4924.52,93.68,351.01,11.208466809259582,-0.396,0.018,0.066,1056.0,22.38,89.25,1003.94,135,5089.0,0,3.9342839347182053,1112.34816,-167.10200999999992,0
1148.58,5268.97,85.9,364.9,14.597832770456636,-0.136,-0.26,-0.265,1035.0,31.91,76.39,1008.14,275,4972.0,1,5.326749177939626,1188.7803,-343.5109999999998,0
1121.47,4853.41,80.18,383.94,14.633698366237267,-1.19,-0.761,0.133,1010.0,25.63,48.26,1002.83,161,4991.0,0,5.618462150733136,1132.6847,-619.5223599999999,0
874.63,4851.95,92.67,362.36,14.495827023155048,-0.373,0.26,-0.118,975.0,18.0,50.47,1007.78,217,4953.0,1,5.252707880110464,852.76425,-302.1369600000002,0
1157.02,5424.2,82.27,314.95,13.578370623436799,0.476,0.076,0.173,987.0,14.46,83.51,1010.21,359,5050.0,1,4.27650782785142,1141.97874,57.26975000000004,0
1015.74,5195.57,93.19,460.1,19.726530522700383,0.162,0.303,0.349,,32.22,30.45,1017.93,41,4996.0,1,9.076176693494446,981.20484,-2468.831000000001,0
1122.98,4522.98,98.51,401.46,19.410979328336847,,0.278,-0.627,1011.0,29.62,39.33,996.72,206,4965.0,0,7.792731761154109,1135.33278,-934.1231599999996,0
1158.44,4886.95,99.38,388.14,11.020826800362652,-0.914,-0.407,-0.16,973.0,25.9,46.75,1015.47,24,5057.0,1,4.27762371429276,1127.1621200000002,-693.8259599999997,0
927.2,4637.6,84.72,411.24,15.076145897233479,,-1.71,-0.324,1043.0,25.72,89.92,1003.15,238,5191.0,1,6.199914238778296,967.0696,-1159.2737600000003,0
844.02,4809.86,96.19,373.73,4.941107289216427,-0.058,-0.055,0.589,1030.0,24.95,32.72,1017.47,94,5079.0,2,1.8466400271988557,869.3406,-461.7112900000003,0
891.17,4372.3,87.07,426.32,4.627205513072225,0.232,-0.089,0.849,987.0,25.49,68.91,998.09,114,5039.0,0,1.9726702543329508,879.5847899999999,-1511.00424,0
970.84,4972.6,98.01,365.34,12.128367053550415,0.555,0.082,0.021,1017.0,26.06,78.57,1010.22,162,4922.0,1,4.430977619344108,987.34428,-342.2715599999998,0
1127.21,,95.75,363.09,22.771499027589034,0.477,0.759,0.202,1005.0,30.22,36.25,1003.79,345,4981.0,1,8.268103581927301,1132.84605,-299.5548099999997,0
1144.29,5011.98,81.48,395.26,15.369117957043489,-0.293,-0.024,-0.737,1023.0,29.73,37.43,1014.03,307,4967.0,1,6.07479756370101,1170.6086699999998,-827.3867599999998,0
802.78,4674.98,88.14,442.82,15.777055064875555,-0.281,0.346,0.152,1022.0,25.98,46.84,1028.73,3,5183.0,1,6.986395523828193,820.44116,-1952.7052399999998,0
1004.3,5016.58,86.75,440.1,6.213465511005274,,0.189,-0.129,1008.0,26.08,65.26,1018.94,217,5007.0,0,2.7345461713934207,1012.3344,-1873.7610000000006,0
966.96,4917.02,95.7,394.64,11.65629531777517,-0.18,-0.692,0.679,1034.0,29.21,44.75,1019.25,138,4982.0,0,4.6000403842067925,999.83664,-801.3029599999998,0
888.84,5300.39,88.21,391.33,10.734643235181474,-0.541,-0.645,-0.114,1011.0,27.92,60.32,1012.29,38,5097.0,2,4.200787937223566,898.61724,-749.6268899999998,0
847.95,5282.27,93.69,400.8,18.540377094932843,-0.104,0.577,-0.41,1000.0,24.57,41.32,1011.04,19,4990.0,0,7.430983139649084,847.95,-926.3240000000003,0
935.05,5157.07,92.05,415.78,5.776382270951483,0.675,-0.44,-0.671,1039.0,10.98,75.09,1011.6,117,4903.0,1,2.4017042206162076,971.51695,-1248.8608399999994,0
1177.16,4934.68,99.51,431.94,13.203167129563715,-0.452,0.185,0.091,993.0,28.47,54.28,1010.48,313,5017.0,0,5.702976009943751,1168.9198800000001,-1661.40636,0
929.28,5397.08,98.76,355.67,23.34934997086679,-0.214,-0.512,-0.272,990.0,30.58,42.5,1006.75,314,4956.0,0,8.304663304138192,919.9871999999999,-230.31489000000025,0
1007.52,4689.39,88.55,433.9,22.39923125547089,-0.432,0.373,0.609,986.0,23.69,77.84,1005.66,242,4938.0,0,9.71902644174882,993.41472,-1709.5709999999997,0
1081.21,4719.29,94.47,385.65,20.74572868484023,0.478,0.124,0.317,,19.45,44.41,1005.48,194,4995.0,1,8.000590267308635,1084.4536300000002,-654.6322499999997,0
945.45,4983.24,96.59,401.55,10.283264525407871,0.144,-0.149,-0.05,1025.0,29.68,61.17,1010.13,235,4925.0,1,4.129244870177531,969.08625,-941.3202500000002,0
1188.71,5450.81,97.98,438.6,25.242490580651417,0.463,0.333,0.314,1010.0,29.76,32.19,1003.47,306,4885.0,0,11.071356368673712,1200.5971000000002,-1836.2560000000008,0
1184.98,4959.53,81.36,407.35,19.187679518525965,0.783,0.13,0.872,,20.72,48.63,1015.05,227,4949.0,0,7.816101251871552,1215.78948,-1065.6722500000005,0
900.71,4963.35,86.04,416.3,20.701944878103728,-0.756,-0.361,-0.58,1022.0,27.37,40.39,997.84,246,4942.0,2,8.618219652754583,920.52562,-1259.1890000000003,0
998.9,4711.62,86.4,351.53,24.617664451411407,-0.38,0.006,-0.318,958.0,22.72,45.34,1016.55,84,4990.0,0,8.653847584604652,956.9462,-183.82408999999973,0
920.35,5189.19,88.69,446.42,24.940812826140558,-0.217,0.335,0.971,1000.0,26.72,89.16,1012.76,147,5039.0,1,11.134077661845668,920.35,-2058.8916400000007,0
913.94,5190.64,83.39,406.78,7.859231746742082,0.034,0.554,-0.377,974.0,31.98,52.21,1029.54,313,4963.0,0,3.196978289939744,890.1775600000001,-1060.2668399999993,0
814.75,5157.82,89.92,378.8,5.544073670168453,0.253,-0.064,0.331,992.0,27.36,38.94,1025.99,81,5032.0,0,2.1000951062598103,808.232,-535.8140000000002,0
1043.83,,93.26,428.05,16.252756947188864,-0.246,0.893,0.594,988.0,21.88,89.26,1002.4,59,4962.0,0,6.9569926112441935,1031.30404,-1559.2802500000003,0
1001.07,4858.66,89.95,502.89,13.65174555105523,-0.346,-0.372,-0.008,982.0,22.31,48.0,1012.82,343,4958.0,0,6.865326320170165,983.0507400000001,-4029.1052099999997,0
820.59,4741.38,93.32,315.55,9.446950557646932,0.478,-0.778,0.345,996.0,34.9,74.51,1016.29,160,5058.0,2,2.9809852484654895,817.30764,59.54974999999996,0
911.46,5016.77,81.33,334.31,16.10972463378492,0.273,-0.706,-0.147,967.0,31.39,83.11,1006.93,261,5013.0,0,5.3856420423206375,881.3818200000001,-26.93761000000002,0
1163.31,4783.92,97.52,509.27,3.7947925109469187,0.158,-0.005,0.908,1025.0,22.82,51.15,1003.93,355,5058.0,0,1.9325739820499372,1192.39275,-4294.073289999999,0
895.82,4764.52,98.78,396.83,3.298601617100714,,0.006,-0.221,1083.0,24.48,68.71,1015.37,175,5050.0,0,1.3089840797140764,970.1730600000001,-847.3048899999997,0
