PlantaID;Nome_Planta;Localizacao;Data_Inspecao;Nivel_Radiacao;Temperatura_Reator;Pressao_Reator;Eficiência_Operacional;Falhas_Detectadas;Custo_Manutencao;Status_Operacional;Potencia_Gerada
NUC-00038;Angra 1;MG - Brasil;2023-08-08;3.1;367.62;110.86;69.82;2;427.0;Desativada;0
NUC-00039;Reator Atlântico;SP - Brasil;2023-12-13;3.12;344.78;119.58;53.15;3;18.93;Operando;48.36
NUC-00040;Central Nuclear Santa;SP - Brasil;2023-04-11;1.0;256.06;85.08;54.68;1;228.3;Em Manutenção;13.99
NUC-00041;Angra 2;RJ - Brasil;2023-03-07;0.5;440.7;121.18;56.84;5;224.14;Operando;51.09
NUC-00042;Angra 1;BA - Brasil;2024-03-05;1.79;258.85;111.41;87.61;0;152.08;;100.18
NUC-00043;Angra 1;SP - Brasil;2023-03-16;3.83;407.48;73.59;56.15;1;481.69;Operando;46.25
NUC-00044;Reator Atlântico;SP - Brasil;2024-05-22;0.87;425.86;139.53;70.12;1;163.66;Desativada;0
NUC-00045;Reator Atlântico;BA - Brasil;2024-10-02;2.28;251.65;75.72;100.0;2;60.85;Em Manutenção;3.95
NUC-00046;Central Nuclear Santa;SC - Brasil;2024-07-25;1.56;;110.11;57.63;5;390.38;Operando;67.25
NUC-00047;Reator Atlântico;RJ - Brasil;2024-11-02;1.51;271.04;50.0;52.99;5;51.78;Parcialmente Operando;30.31
NUC-00048;Central Nuclear Santa;BA - Brasil;2023-04-13;3.09;213.09;66.11;51.58;3;75.87;Parcialmente Operando;26.21
NUC-00049;Reator Atlântico;SP - Brasil;2023-07-01;4.36;280.88;88.06;93.14;3;352.3;Desativada;0
NUC-00050;Angra 2;MG - Brasil;2024-05-13;0.4;227.68;97.99;52.73;3;478.96;Em Manutenção;10.3
NUC-00051;Reator Atlântico;RJ - Brasil;2023-11-08;4.07;352.77;72.54;76.8;0;280.0;Operando;72.21
NUC-00052;NucleoForte;MG - Brasil;2024-04-21;4.92;233.17;85.21;55.54;3;181.83;Em Manutenção;7.61
NUC-00053;Central Nuclear Santa;MG - Brasil;2025-01-10;3.83;292.9;106.79;61.28;3;174.67;Desativada;0
NUC-00054;Angra 2;MG - Brasil;2024-09-15;3.18;233.68;98.42;57.61;4;44.75;Parcialmente Operando;26.2
NUC-00055;NucleoForte;SC - Brasil;2024-06-25;0.33;402.17;100.43;;5;278.27;Em Manutenção;6.86
NUC-00056;NucleoForte;BA - Brasil;2023-06-11;2.65;404.1;122.19;75.81;2;134.68;Parcialmente Operando;39.83
NUC-00057;Reator Atlântico;SP - Brasil;2024-11-30;0.87;227.86;78.36;59.88;1;422.97;;59.29
NUC-00058;Reator Atlântico;MG - Brasil;;3.44;383.04;87.33;63.02;2;423.54;Operando;60.74
NUC-00059;Central Nuclear Santa;SC - Brasil;2024-06-04;4.46;336.28;106.12;82.93;1;378.58;Em Manutenção;11.89
NUC-00060;Angra 1;SC - Brasil;2024-03-07;3.8;288.55;113.68;93.54;5;448.97;Desativada;0
NUC-00061;Central Nuclear Santa;SC - Brasil;2024-05-22;3.71;302.42;100.18;58.83;2;256.17;Parcialmente Operando;22.49
NUC-00062;Reator Atlântico;SP - Brasil;2023-10-21;1.91;315.14;122.14;86.92;;219.07;Parcialmente Operando;37.44
NUC-00063;Angra 1;MG - Brasil;2024-07-14;11.42;333.09;72.15;75.2;5;391.91;Em Manutenção;14.67
NUC-00064;Reator Atlântico;MG - Brasil;2023-12-22;3.8;298.92;106.32;59.95;0;154.99;Em Manutenção;12.22
NUC-00065;Reator Atlântico;MG - Brasil;2023-06-18;4.99;299.22;125.22;62.3;3;437.03;Em Manutenção;10.68
NUC-00066;Angra 2;SP - Brasil;2023-11-05;1.16;305.44;;50.62;4;273.66;Parcialmente Operando;28.86
;Reator Atlântico;SC - Brasil;2023-12-31;3.68;278.41;95.05;61.4;5;242.45;Operando;63.33
NUC-00068;Angra 2;MG - Brasil;2025-01-16;3.18;397.81;68.21;100.0;0;39.79;Desativada;0.0
NUC-00069;Angra 2;MG - Brasil;2024-02-22;0.66;409.36;101.87;89.9;5;387.63;Desativada;0
NUC-00070;Reator Atlântico;MG - Brasil;2024-06-23;4.03;359.37;119.29;62.97;0;434.26;Desativada;0
NUC-00071;Reator Atlântico;MG - Brasil;2024-06-21;1.18;355.23;130.77;97.04;5;152.22;Operando;86.02
NUC-00072;Reator Atlântico;SC - Brasil;2023-03-16;3.57;440.93;160.13;59.08;1;129.8;Em Manutenção;2.38
NUC-00073;Angra 1;BA - Brasil;2024-08-06;0.66;235.87;81.71;93.38;3;20.14;Operando;109.75
NUC-00074;Angra 2;RJ - Brasil;2024-03-09;0.89;251.06;54.25;72.37;1;256.34;Desativada;0
NUC-00075;NucleoForte;MG - Brasil;2023-08-26;3.82;293.7;84.5;75.9;4;279.11;Em Manutenção;
NUC-00076;Central Nuclear Santa;RJ - Brasil;2024-04-04;4.97;234.51;53.68;67.33;2;115.97;Em Manutenção;11.62
NUC-00077;Reator Atlântico;BA - Brasil;2023-02-20;4.56;237.91;74.18;83.76;0;159.37;Desativada;0
NUC-00078;Reator Atlântico;MG - Brasil;2024-01-17;;258.68;66.03;56.26;3;284.51;Operando;45.74
NUC-00079;Central Nuclear Santa;SP - Brasil;2024-05-12;4.77;211.85;70.93;53.49;1;55.56;;0
NUC-00080;NucleoForte;SP - Brasil;2024-04-03;1.09;299.49;63.44;71.43;1;226.42;Em Manutenção;3.28
NUC-00081;Central Nuclear Santa;RJ - Brasil;2024-10-08;3.32;240.34;100.53;68.09;1;;Parcialmente Operando;28.91
;Angra 1;BA - Brasil;2023-12-28;0.61;266.9;97.06;100.0;5;5569.24;Desativada;0
NUC-00083;NucleoForte;SP - Brasil;2023-10-17;2.68;297.1;91.82;60.99;5;20.3;Operando;58.0
NUC-00084;NucleoForte;RJ - Brasil;2023-08-13;2.91;374.05;121.38;51.36;0;343.56;Operando;54.09
NUC-00085;Angra 2;BA - Brasil;2024-04-25;3.11;302.99;93.83;54.49;4;292.55;Parcialmente Operando;32.46
NUC-00086;Angra 2;MG - Brasil;2024-12-17;2.05;273.93;83.66;86.77;4;186.28;Em Manutenção;15.74
NUC-00087;Reator Atlântico;SP - Brasil;2024-06-03;4.15;273.02;60.28;55.26;1;197.58;Desativada;0
NUC-00088;Angra 1;SP - Brasil;2024-06-02;4.53;315.48;98.38;57.78;2;196.97;Parcialmente Operando;20.32
NUC-00089;NucleoForte;SC - Brasil;2023-06-22;3.25;302.14;57.97;100.0;1;177.44;Operando;56.02
;Reator Atlântico;SC - Brasil;2024-06-26;2.78;2370.55;98.92;;5;409.35;Desativada;0
NUC-00091;Reator Atlântico;MG - Brasil;2024-02-20;3.84;295.0;107.8;54.54;19;81.51;Parcialmente Operando;28.41
NUC-00092;Angra 1;SP - Brasil;2023-05-25;0.13;228.96;408.69;98.34;1;164.66;Operando;99.55
NUC-00093;Reator Atlântico;RJ - Brasil;2024-05-03;1.76;342.65;71.05;51.22;5;252.01;Operando;61.09
NUC-00094;Angra 2;MG - Brasil;2023-12-16;0.54;;70.61;73.69;4;384.25;Operando;76.61
NUC-00095;Angra 1;SC - Brasil;2023-04-15;3.78;387.79;87.57;56.21;5;368.82;Operando;46.83
NUC-00096;Angra 1;SC - Brasil;2024-03-28;2.24;391.1;100.25;66.61;2;333.83;Desativada;0
NUC-00097;Central Nuclear Santa;SP - Brasil;2024-03-08;2.36;;144.68;68.2;4;273.81;Desativada;0
NUC-00098;NucleoForte;SC - Brasil;2024-06-15;1.53;278.86;108.0;70.61;4;165.92;Desativada;0
NUC-00099;NucleoForte;RJ - Brasil;2024-03-08;1.79;211.0;93.27;72.22;3;397.27;Operando;73.44
NUC-00100;Central Nuclear Santa;SC - Brasil;2024-12-27;1.44;314.85;66.33;68.73;3;50.84;Parcialmente Operando;28.98
NUC-00101;Central Nuclear Santa;RJ - Brasil;2023-04-05;3.6;232.68;74.34;56.26;;62.26;Desativada;0
NUC-00102;Reator Atlântico;SC - Brasil;2024-05-26;3.06;444.31;169.96;64.34;4;131.01;Parcialmente Operando;20.98
NUC-00103;Reator Atlântico;BA - Brasil;2024-04-12;4.61;253.31;84.49;85.26;3;408.65;Operando;83.39
NUC-00104;Central Nuclear Santa;RJ - Brasil;2024-12-23;3.83;417.87;95.59;73.25;3;393.91;Em Manutenção;19.25
NUC-00105;Reator Atlântico;MG - Brasil;2023-07-05;1.64;219.91;76.55;71.91;3;375.82;Parcialmente Operando;
NUC-00106;Angra 2;SP - Brasil;2024-05-02;1.88;339.03;90.98;89.97;3;231.69;Parcialmente Operando;44.06
NUC-00107;NucleoForte;SC - Brasil;2023-07-13;1.43;277.05;90.1;64.49;3;111.73;Parcialmente Operando;277.86
NUC-00108;Angra 2;BA - Brasil;2024-01-10;3.2;231.27;95.37;94.21;5;45.54;Desativada;0
NUC-00109;Angra 1;SC - Brasil;2024-08-24;3.76;339.86;84.62;58.74;5;403.97;Parcialmente Operando;19.37
NUC-00110;NucleoForte;SC - Brasil;2023-03-15;0.09;409.66;84.86;88.97;5;483.05;Operando;96.42
NUC-00111;NucleoForte;SP - Brasil;2024-08-09;1.09;272.53;62.97;71.9;2;37.05;Operando;57.89
NUC-00112;Angra 2;SC - Brasil;2023-08-26;0.06;214.36;57.53;75.31;0;221.11;Operando;
NUC-00113;Angra 2;SP - Brasil;2024-10-07;1.95;407.38;104.92;78.7;2;105.03;Em Manutenção;14.87
NUC-00114;Angra 1;RJ - Brasil;2023-08-18;;425.78;146.85;100.0;4;451.44;Desativada;0
NUC-00115;Reator Atlântico;RJ - Brasil;2024-03-10;4.64;423.98;131.73;89.68;1;21.09;Parcialmente Operando;36.52
NUC-00116;NucleoForte;RJ - Brasil;2023-11-27;4.81;368.28;107.54;74.72;4;119.39;Em Manutenção;1.52
NUC-00117;Angra 2;RJ - Brasil;2024-05-18;3.36;394.37;118.46;63.09;3;125.87;Desativada;0
NUC-00118;Angra 2;RJ - Brasil;2024-01-18;4.01;448.0;160.49;96.35;1;148.14;Desativada;0
NUC-00119;Angra 2;SP - Brasil;2024-03-06;2.32;235.12;95.64;86.68;2;317.52;Operando;82.77
NUC-00120;NucleoForte;MG - Brasil;2023-12-20;2.43;235.98;72.28;58.53;0;;Parcialmente Operando;33.3
NUC-00121;NucleoForte;RJ - Brasil;2023-12-23;2.9;380.54;96.86;82.88;5;84.74;Em Manutenção;12.5
NUC-00122;;RJ - Brasil;2023-08-22;4.49;300.28;87.08;91.8;1;239.18;Em Manutenção;17.1
NUC-00123;Angra 2;SP - Brasil;2023-12-11;4.79;382.28;136.85;72.57;4;129.35;Parcialmente Operando;40.23
NUC-00124;Angra 1;SP - Brasil;2024-01-01;2.95;276.13;60.83;83.85;0;474.72;Desativada;0
NUC-00125;Angra 1;SP - Brasil;2025-02-01;0.31;224.89;75.04;50.54;3;140.79;Desativada;0
NUC-00126;Angra 1;SP - Brasil;2023-04-01;2.19;303.04;65.35;68.98;3;185.62;Parcialmente Operando;41.04
NUC-00127;Angra 1;SC - Brasil;2025-01-01;4.05;;139.15;92.81;2;467.94;Operando;94.29
NUC-00128;Central Nuclear Santa;SP - Brasil;2024-07-25;3.17;439.8;124.26;78.45;1;364.95;Desativada;0
NUC-00129;Angra 2;MG - Brasil;2023-08-03;2.24;369.26;105.2;88.88;23;209.2;Desativada;0
NUC-00130;Angra 1;RJ - Brasil;2024-10-13;2.89;338.02;113.91;94.06;3;45.34;Parcialmente Operando;32.83
NUC-00131;Angra 2;RJ - Brasil;2025-01-08;;226.99;47.34;75.56;3;135.16;Em Manutenção;12.87
NUC-00132;Angra 1;SC - Brasil;2024-09-05;0.73;;101.88;88.92;5;460.02;Em Manutenção;2.06
NUC-00133;Angra 2;SC - Brasil;;1.89;213.01;66.04;90.69;0;144.19;Operando;101.12
NUC-00134;Angra 1;RJ - Brasil;2024-08-14;3.09;413.84;105.38;60.41;2;337.4;Desativada;0
NUC-00135;Reator Atlântico;MG - Brasil;2023-11-27;0.08;356.5;74.37;90.83;0;209.57;Em Manutenção;7.78
NUC-00136;Central Nuclear Santa;BA - Brasil;2024-04-25;0.73;205.36;76.18;70.7;3;45.72;Desativada;0
NUC-00137;Angra 2;BA - Brasil;2024-03-13;2.16;297.68;111.61;60.39;2;232.87;Desativada;0
NUC-00138;NucleoForte;SP - Brasil;2023-08-07;3.31;228.09;55.02;82.59;14;308.02;Desativada;0
NUC-00139;Reator Atlântico;BA - Brasil;2024-12-19;4.67;410.28;136.7;90.93;2;199.73;Parcialmente Operando;41.15
NUC-00140;Angra 2;SP - Brasil;2023-11-05;4.3;271.81;120.34;62.0;4;430.98;Parcialmente Operando;35.54
NUC-00141;Reator Atlântico;SC - Brasil;2024-11-18;1.48;446.2;84.36;83.54;4;108.15;Parcialmente Operando;31.87
NUC-00142;Central Nuclear Santa;BA - Brasil;2023-05-22;4.22;389.09;95.52;81.81;3;204.16;Em Manutenção;6.87
NUC-00143;Reator Atlântico;MG - Brasil;2023-05-22;;393.29;139.03;83.48;0;332.64;Operando;83.19
NUC-00144;Central Nuclear Santa;SC - Brasil;2025-01-27;4.84;361.45;138.62;79.18;1;129.33;Desativada;0
NUC-00145;Central Nuclear Santa;SC - Brasil;2023-02-17;1.41;316.15;76.56;100.0;3;14.29;Operando;102.44
NUC-00146;Angra 1;BA - Brasil;2023-02-27;3.63;412.6;141.82;54.42;2;86.9;Parcialmente Operando;28.33
NUC-00147;Central Nuclear Santa;BA - Brasil;2024-09-04;0.49;431.08;85.88;54.08;3;176.09;Em Manutenção;0.07
NUC-00148;NucleoForte;MG - Brasil;2023-06-04;0.08;205.76;93.13;74.06;1;197.93;Em Manutenção;17.44
NUC-00149;;MG - Brasil;2024-05-09;2.16;352.17;103.99;75.27;4;453.41;Operando;78.96
NUC-00150;Angra 2;SP - Brasil;2023-09-21;;354.91;127.82;51.13;5;308.85;Operando;54.11
NUC-00151;NucleoForte;BA - Brasil;2024-11-17;0.63;213.75;79.53;97.29;5;350.52;Desativada;0
NUC-00152;Angra 1;BA - Brasil;2025-01-23;2.04;433.25;138.97;57.85;0;461.94;Operando;64.71
NUC-00153;Central Nuclear Santa;;2023-10-05;2.9;291.87;100.08;69.6;1;386.92;Operando;79.27
NUC-00154;Central Nuclear Santa;BA - Brasil;2024-06-24;5.27;344.68;;67.95;5;317.57;;73.05
NUC-00155;Reator Atlântico;MG - Brasil;2024-02-09;0.6;414.34;75.06;65.82;5;353.08;Desativada;0
NUC-00156;NucleoForte;SP - Brasil;2023-09-26;43.02;370.51;99.79;98.99;1;312.02;Parcialmente Operando;45.3
NUC-00157;Reator Atlântico;MG - Brasil;2024-04-11;3.98;374.57;114.44;69.16;5;322.31;Desativada;0
NUC-00158;Angra 1;RJ - Brasil;2023-07-07;3.04;371.34;110.34;63.84;2;377.55;Operando;288.88
NUC-00159;Reator Atlântico;RJ - Brasil;2024-06-07;2.74;254.96;72.83;55.63;1;248.42;Desativada;0
NUC-00160;Reator Atlântico;SC - Brasil;2024-03-15;2.95;373.75;131.31;81.35;5;201.95;Em Manutenção;17.9
NUC-00161;Angra 1;RJ - Brasil;2024-05-01;3.94;369.12;121.77;82.12;5;423.74;Parcialmente Operando;34.02
NUC-00162;Central Nuclear Santa;SP - Brasil;2024-09-08;3.29;347.16;115.69;90.45;1;326.09;Em Manutenção;3.61
NUC-00163;;MG - Brasil;2023-08-06;1.23;205.31;85.44;100.0;;440.74;Em Manutenção;17.52
NUC-00164;Reator Atlântico;BA - Brasil;2024-07-30;2.58;426.46;85.41;57.18;2;238.77;Em Manutenção;9.03
NUC-00165;Angra 2;SP - Brasil;2024-10-07;4.74;364.31;75.96;68.49;3;379.5;;72.69
NUC-00166;Angra 2;SP - Brasil;2025-01-01;0.88;246.29;67.36;63.8;1;244.7;Operando;74.67
NUC-00167;NucleoForte;SC - Brasil;2024-06-16;2.28;346.51;75.64;76.25;4;387.29;Parcialmente Operando;
NUC-00168;Angra 1;RJ - Brasil;2023-09-01;23.63;200.9;82.68;92.94;2;242.96;Parcialmente Operando;49.23
NUC-00169;Angra 1;BA - Brasil;2025-01-20;2.3;385.11;93.43;83.58;3;396.18;Parcialmente Operando;45.11
NUC-00170;Angra 1;BA - Brasil;2024-05-01;3.52;332.36;99.15;94.22;4;107.28;Em Manutenção;19.87
NUC-00171;Central Nuclear Santa;RJ - Brasil;2025-01-16;1.04;391.98;147.95;50.57;3;76.91;Desativada;0
NUC-00172;Central Nuclear Santa;SC - Brasil;2023-05-20;1.04;273.77;92.86;;;137.19;Parcialmente Operando;22.02
NUC-00173;Reator Atlântico;SC - Brasil;2024-02-23;2.99;225.36;76.96;62.74;5;94.29;Operando;69.38
NUC-00174;Central Nuclear Santa;BA - Brasil;2025-01-02;2.0;252.58;88.27;64.68;4;91.79;Parcialmente Operando;31.53
NUC-00175;Central Nuclear Santa;SC - Brasil;2023-08-15;0.56;392.95;67.54;66.87;4;247.46;Operando;74.77
NUC-00176;Reator Atlântico;BA - Brasil;2023-10-09;4.37;320.69;66.43;66.36;1;;Em Manutenção;4.4
NUC-00177;Angra 1;SC - Brasil;2023-10-11;0.54;413.39;136.73;75.06;3;284.11;Operando;81.62
NUC-00178;Central Nuclear Santa;BA - Brasil;2024-10-31;5.0;227.99;51.48;78.63;5;336.82;Desativada;0
NUC-00179;Reator Atlântico;SC - Brasil;2023-06-05;3.2;360.03;106.79;100.0;5;350.4;Em Manutenção;146.23
NUC-00180;Angra 1;SP - Brasil;2024-11-14;2.67;276.88;115.41;87.48;3;194.46;Desativada;0
NUC-00181;Central Nuclear Santa;SP - Brasil;2023-05-05;4.39;263.67;98.03;98.54;5;451.57;Desativada;0
NUC-00182;Central Nuclear Santa;;2024-02-26;3.16;225.73;101.55;92.06;2;298.28;Desativada;0
NUC-00183;NucleoForte;RJ - Brasil;2023-03-15;2.32;352.77;112.69;88.5;2;183.41;Em Manutenção;9.27
NUC-00184;Reator Atlântico;SC - Brasil;2023-05-05;4.25;239.31;;91.03;5;70.87;Operando;87.42
NUC-00185;Angra 1;SP - Brasil;2024-01-29;2.99;217.73;78.09;84.47;3;66.12;Operando;100.97
NUC-00186;Angra 2;RJ - Brasil;2023-03-29;1.39;378.28;121.63;72.92;4;265.02;Em Manutenção;16.3
NUC-00187;Angra 2;SC - Brasil;2023-08-28;3.38;255.13;76.55;;0;487.84;Parcialmente Operando;36.66
NUC-00188;Reator Atlântico;RJ - Brasil;2023-03-02;0.02;302.65;104.36;63.35;4;115.44;Desativada;0
NUC-00189;Angra 2;SC - Brasil;2023-09-25;4.97;446.69;86.05;96.64;4;204.36;Parcialmente Operando;36.25
NUC-00190;NucleoForte;RJ - Brasil;2023-07-29;4.66;320.5;87.6;85.02;;74.7;Desativada;0
NUC-00191;Reator Atlântico;;2024-07-31;0.98;413.52;72.8;64.15;3;89.28;;0
NUC-00192;Central Nuclear Santa;MG - Brasil;2023-11-29;3.43;404.23;139.6;90.27;4;381.64;Parcialmente Operando;38.4
NUC-00193;Reator Atlântico;MG - Brasil;2023-07-20;1.21;401.17;81.13;61.19;3;139.76;Parcialmente Operando;35.47
NUC-00194;NucleoForte;SC - Brasil;2024-07-11;0.22;202.02;73.88;94.83;1;;Parcialmente Operando;52.5
NUC-00195;NucleoForte;BA - Brasil;2024-06-13;1.51;201.8;694.66;86.63;;13.74;Operando;78.6
NUC-00196;Angra 1;RJ - Brasil;2023-03-16;2.04;352.57;103.07;99.18;1;289.62;Operando;90.76
NUC-00197;Angra 1;SP - Brasil;2024-12-13;4.04;354.07;93.0;76.77;5;341.33;Operando;74.28
NUC-00198;Central Nuclear Santa;BA - Brasil;2025-01-08;4.22;297.46;106.23;79.64;1;206.96;Operando;69.07
NUC-00199;Central Nuclear Santa;MG - Brasil;2024-02-02;0.09;257.59;62.93;55.72;1;27.13;Em Manutenção;6.0
NUC-00200;Central Nuclear Santa;SC - Brasil;2024-10-04;1.83;261.51;60.59;94.29;4;323.54;Em Manutenção;0.28
NUC-00201;NucleoForte;BA - Brasil;2024-01-17;3.31;281.59;118.14;;3;191.44;Parcialmente Operando;31.02
NUC-00202;Angra 1;SP - Brasil;2023-05-17;4.34;330.68;93.59;51.68;3;379.25;Parcialmente Operando;28.82
NUC-00203;Reator Atlântico;BA - Brasil;2024-07-05;4.8;247.86;84.69;62.68;3;329.83;Desativada;0
NUC-00204;Reator Atlântico;RJ - Brasil;2024-03-07;2.43;421.55;80.4;68.8;5;169.71;Parcialmente Operando;25.62
NUC-00205;Angra 1;BA - Brasil;2024-12-30;1.72;282.33;67.93;77.58;2;154.38;Em Manutenção;11.07
NUC-00206;NucleoForte;BA - Brasil;2023-08-16;2.56;438.2;121.09;94.15;1;67.1;;91.96
NUC-00207;Angra 1;BA - Brasil;2023-04-03;0.09;335.08;70.85;57.85;2;368.47;Em Manutenção;4.12
NUC-00208;Angra 2;SP - Brasil;2024-09-23;1.31;340.04;67.99;65.01;5;208.27;Em Manutenção;8.6
NUC-00209;Reator Atlântico;MG - Brasil;2023-03-13;2.51;367.1;103.69;52.72;5;414.08;Em Manutenção;11.94
NUC-00210;Central Nuclear Santa;SC - Brasil;2024-05-02;0.24;3453.35;111.91;59.57;5;42.63;Parcialmente Operando;34.32
NUC-00211;Angra 2;BA - Brasil;2024-05-19;1.32;394.11;153.66;66.94;0;173.87;Desativada;0
NUC-00212;NucleoForte;SC - Brasil;;3.07;438.93;150.97;57.05;1;366.69;Operando;46.53
NUC-00213;NucleoForte;SP - Brasil;2024-03-09;1.67;291.92;82.15;95.74;2;295.6;Desativada;0
NUC-00214;Angra 2;RJ - Brasil;2023-04-05;4.38;344.26;100.75;76.64;5;445.86;Desativada;0
NUC-00215;Angra 1;MG - Brasil;2024-02-13;2.99;356.73;90.7;71.85;4;400.27;Em Manutenção;0.71
NUC-00216;Angra 1;BA - Brasil;2024-08-23;0.02;263.55;96.83;98.78;0;469.77;Em Manutenção;5.26
NUC-00217;Reator Atlântico;MG - Brasil;2023-04-28;0.33;401.78;138.1;78.82;2;226.03;Em Manutenção;10.13
NUC-00218;Central Nuclear Santa;BA - Brasil;2024-10-24;2.5;421.83;144.84;90.46;3;439.67;Em Manutenção;13.1
;NucleoForte;BA - Brasil;2024-09-24;0.82;228.18;83.79;76.4;1;64.9;Em Manutenção;4.03
NUC-00220;NucleoForte;BA - Brasil;2023-09-11;3.92;370.61;90.87;59.52;4;129.0;Operando;48.21
NUC-00221;Angra 1;SC - Brasil;2023-09-04;0.76;267.83;105.49;69.34;3;31.02;Parcialmente Operando;41.12
NUC-00222;NucleoForte;RJ - Brasil;2023-03-20;1.36;323.31;86.7;87.72;5;266.41;Em Manutenção;7.15
NUC-00223;NucleoForte;MG - Brasil;2024-10-31;1.18;203.64;89.35;93.23;2;212.13;Parcialmente Operando;33.49
NUC-00224;Reator Atlântico;BA - Brasil;2023-07-15;4.4;224.86;66.23;80.78;3;341.97;Parcialmente Operando;39.54
